fips,county,state,npi,start_date,end_date,citation,note,re-opening_note,re-opening_citation
50,,Vermont,gathering_size_500_101,3/13/2020,,https://governor.vermont.gov/sites/scott/files/documents/EO%200120%20Declaration%20of%20State%20of%20Emergency%20in%20Response%20to%20COVID19%20and%20National%20Guard%20CallOut.pdf,prohibits large non -essential mass gatherings of 250,,
50,,Vermont,lockdown,,,,,,
50,,Vermont,non-essential_services_closure,3/24/2020,5/19/2020,https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%206%20TO%20EXECUTIVE%20ORDER%200120.pdf https://governor.vermont.gov/covid19response#Restart,,,
50,,Vermont,religious_gatherings_banned,3/24/2020,,https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%206%20TO%20EXECUTIVE%20ORDER%200120.pdf,implied by the stay at home order as not listed as excepmtion,,
50,,Vermont,school closure,3/18/2020,,https://governor.vermont.gov/sites/scott/files/documents/Directive%201%20%20Continuity%20of%20Education%20Planning.pdf,all schools,,
50,,Vermont,shelter_in_place,3/24/2020,5/6/2010,https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%206%20TO%20EXECUTIVE%20ORDER%200120.pdf,stay at home leave only for essentials,,
50,,Vermont,social_distancing,3/24/2020,,https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%206%20TO%20EXECUTIVE%20ORDER%200120.pdf,social distancing rules appear in an order,,
54,,West Virginia,closing_of_public_venues,3/18/2020,5/21/2020,https://governor.wv.gov/News/pressreleases/2020/Pages/COVID19UPDATEExecutiveOrderlimitingrestaurantsandbarsclosingcasinosstatewide.aspx https://governor.wv.gov/Pages/The-Comeback.aspx,,,
54,,West Virginia,gathering_size_10_0,3/24/2020,6/5/2020,https://coronaviruswvgovstatuscdn.azureedge.net/STAY_AT_HOME_ORDER.pdf https://governor.wv.gov/News/press-releases/2020/Pages/COVID-19-UPDATE-Gov.-Justice-unveils-WVSTRONG-Discount-for-State-Parks-announces-new-testing-dates-for-vulnerable-pops.aspx,gathering sizes limited to 100 people,,
54,,West Virginia,gathering_size_100_26,,,,,,
54,,West Virginia,gathering_size_25_11,,,,,,
54,,West Virginia,gathering_size_500_101,,,,,,
54,,West Virginia,lockdown,,,,,,
54,,West Virginia,non-essential_services_closure,3/24/2020,5/4/2020,https://coronaviruswvgovstatuscdn.azureedge.net/STAY_AT_HOME_ORDER.pdf https://governor.wv.gov/Pages/The-Comeback.aspx,,,
54,,West Virginia,religious_gatherings_banned,,,,religious gatherings exempted from shelter in place order,,
54,,West Virginia,school closure,3/13/2020,,http://wvmetronews.com/2020/03/13/schoolsareclosinginwestvirginiauntilfurthernotice/,,,
54,,West Virginia,shelter_in_place,3/24/2020,5/4/2020,https://www.fisherphillips.com/resourcesalertswestvirginiagovernorordersshelterinplace https://governor.wv.gov/Pages/faqs.aspx,,,
54,,West Virginia,social_distancing,3/24/2020,,https://coronaviruswvgovstatuscdn.azureedge.net/STAY_AT_HOME_ORDER.pdf,,,
56,,Wyoming,closing_of_public_venues,3/30/2020,6/1/2020,http://pluto.state.wy.us/awweb/main.jsp?flag=browse&smd=2&awdid=3 https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/covid-19-orders-and-guidance/ https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/covid-19-orders-and-guidance/,,,
56,,Wyoming,gathering_size_10_0,3/19/2020,5/27/2020,https://health.wyo.gov/wpcontent/uploads/2020/03/StatewideOrder3.19.2020.pdf,gathering sizes limited to 25 people,,
56,,Wyoming,gathering_size_100_26,,,,,,
56,,Wyoming,gathering_size_25_11,,,,,,
56,,Wyoming,gathering_size_500_101,,,,,,
56,,Wyoming,lockdown,,,,,,
56,,Wyoming,non-essential_services_closure,3/30/2020,5/27/2020,http://pluto.state.wy.us/awweb/main.jsp?flag=browse&smd=2&awdid=3 https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/covid-19-orders-and-guidance/,,,
56,,Wyoming,religious_gatherings_banned,3/30/2020,,http://pluto.state.wy.us/awweb/main.jsp?flag=browse&smd=2&awdid=3,,,
56,,Wyoming,school closure,3/15/2020,,https://trib.com/news/local/education/schooldistrictsacrosswyomingannounceclosuresfollowinggovernorsrecommendation/article_333c5100c6a657f1b04b948546b59ffd.html,,,
56,,Wyoming,shelter_in_place,,,,,,
56,,Wyoming,social_distancing,4/3/2020,,https://drive.google.com/file/d/1509mzmlpFEWGHEMX6izhE00wWKLXbGk/view,-,,
9,,Connecticut,closing_of_public_venues,3/16/2020,5/20/2020,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7D.pdf?la=en,open for outdoor dining,,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7PP.pdf?la=en&hash=6B0239283A4CFCBC8547C1B47CA92EDF
9,,Connecticut,gathering_size_10_0,3/26/2020,,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7N.pdf?la=en,5 people max ended 6/1 goes to 10 people max indoors,,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7TT.pdf
9,,Connecticut,gathering_size_100_26,3/16/2020,,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7D.pdf?la=en,,,
9,,Connecticut,gathering_size_25_11,,,,,,
9,,Connecticut,gathering_size_500_101,3/12/2020,,https://portal.ct.gov//media/OfficeoftheGovernor/ExecutiveOrders/LamontExecutiveOrders/ExecutiveOrderNo7L.pdf,-,,
9,,Connecticut,lockdown,,,,,,
9,,Connecticut,non-essential_services_closure,3/23/2020,5/20/2020,https://portal.ct.gov/DECD/Content/Coronavirus-Business-Recovery/Business-Exemptions-for-Coronavirus, ,,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7PP.pdf?la=en&hash=6B0239283A4CFCBC8547C1B47CA92EDF
9,,Connecticut,religious_gatherings_banned,3/16/2020,6/1/2020,https://portal.ct.gov//media/OfficeoftheGovernor/ExecutiveOrders/LamontExecutiveOrders/ExecutiveOrderNo7L.pdf,can reopen limited to 20% capacity allowed capacity above generalized gathering size max,,https://portal.ct.gov/-/media/Coronavirus/COVID-19-FAQs.pdf?la=en
9,,Connecticut,school closure,3/15/2020,,https://portal.ct.gov//media/OfficeoftheGovernor/ExecutiveOrders/LamontExecutiveOrders/ExecutiveOrderNo7L.pdf,closed for the rest of the school year,,https://www.ctpost.com/news/coronavirus/article/Connecticut-schools-expected-to-be-closed-for-15247433.php
9,,Connecticut,shelter_in_place,3/20/2020,5/20/2020,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7H.pdf?la=en,,,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7PP.pdf?la=en&hash=6B0239283A4CFCBC8547C1B47CA92EDF
9,,Connecticut,social_distancing,3/16/2020,,https://portal.ct.gov//media/OfficeoftheGovernor/ExecutiveOrders/LamontExecutiveOrders/ExecutiveOrderNo7L.pdf,-,,
10,,Delaware,closing_of_public_venues,3/16/2020,6/1/2020,https://governor.delaware.gov/health-soe/second-state-of-emergency/, ,,https://governor.delaware.gov/wp-content/uploads/sites/24/2020/06/Delaware-Economic-Reopening-PHASE-1_Revised-6.6.20.pdf
10,,Delaware,gathering_size_10_0,3/22/2020,6/15/2020,https://governor.delaware.gov/wp-content/uploads/sites/24/2020/03/Fifth-Modification-to-State-of-Emergency-03222020.pdf,Family only; 10 people limit for indoors startign 6/1; set to expire 6/15,,https://governor.delaware.gov/health-soe/twentieth-state-of-emergency/
10,,Delaware,gathering_size_100_26,3/18/2020,,https://governor.delaware.gov/wp-content/uploads/sites/24/2020/03/Fourth-Modification-to-State-of-Emergency-03222020.pdf,50 people limit,,
10,,Delaware,gathering_size_25_11,,,,,,
10,,Delaware,gathering_size_500_101,,,,,,
10,,Delaware,lockdown,,,,,,
10,,Delaware,non-essential_services_closure,3/24/2020,6/1/2020,https://news.delaware.gov/2020/03/22/governorcarneyissuesstayathomeorderfordelawareans/,-,,https://governor.delaware.gov/wp-content/uploads/sites/24/2020/06/Delaware-Economic-Reopening-PHASE-1_Revised-6.6.20.pdf
10,,Delaware,religious_gatherings_banned,,,,,,
10,,Delaware,school closure,3/23/2020,,https://news.delaware.gov/2020/03/23/governor-carney-closes-delaware-schools-through-may-15/,closed for the rest of the school year,,https://news.delaware.gov/2020/04/24/delaware-schools-closed-through-academic-year/
10,,Delaware,shelter_in_place,3/24/2020,6/1/2020,https://governor.delaware.gov/wpcontent/uploads/sites/24/2020/03/FifthModificationtoStateofEmergency03222020.pdf,-,,https://governor.delaware.gov/wp-content/uploads/sites/24/2020/06/Delaware-Economic-Reopening-PHASE-1_Revised-6.6.20.pdf
10,,Delaware,social_distancing,,,,,,
23,,Maine,closing_of_public_venues,3/18/2020,6/1/2020,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inlinefiles/Executive%20Order%20to%20Protect%20Public%20Health%20.pdf,bars/restaraunts allowed take - out/no dine in; June 1st switch to outdoor dining allowed in most counties,,https://www.maine.gov/governor/mills/news/mills-administration-announces-update-restarting-maines-economy-plan-2020-05-27
23,,Maine,gathering_size_10_0,3/18/2020,6/1/2020,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inlinefiles/Executive%20Order%20to%20Protect%20Public%20Health%20.pdf,max 10 (must maintain social distance) ,,
23,,Maine,gathering_size_100_26,6/1/2020,,https://www.maine.gov/governor/mills/news/governor-mills-issues-executive-order-allowing-easing-restrictions-restarting-maine-plan,3/15/20 gov. strongly recommend restricting gatherings max 50 https://www.maine.gov/governor/mills/news/governor-announces-significant-recommendations-signs-civil-emergency-proclamation-respond; officially required 6/1/2020 50 max capaciy,,
23,,Maine,gathering_size_25_11,,,,,,
23,,Maine,gathering_size_500_101,,,,*3/12/20 recommendation to limit gatherings to 250 (not an order) https://www.maine.gov/governor/mills/news/governor-mills-maine-cdc-announce-first-presumptive-positive-case-and-additional-steps-respond,,
23,,Maine,lockdown,,,,4/3/20 mandatory 14 quarantine for travellers arriving to Maine https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/An%20Order%20Establishing%20Quarantine%20Restrictions%20On%20Travelers%20Arriving%20in%20Maine.pdf,,
23,,Maine,non-essential_services_closure,3/25/2020,6/1/2020,https://www.maine.gov/governor/mills/news/governormillsordersfurtherstepsprotectpublichealth20200324,official order; on 3/18/20 strong recommendatio to close https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/Executive%20Order%20to%20Protect%20Public%20Health%20.pdf,,https://www.maine.gov/governor/mills/news/governor-mills-issues-executive-order-allowing-easing-restrictions-restarting-maine-plan
23,,Maine,religious_gatherings_banned,3/18/2020,5/29/2020,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inlinefiles/Executive%20Order%20to%20Protect%20Public%20Health%20.pdf,no gathering of more than 10 (must maintain social distance); allowed with 50 person max starting 5/29,,https://www.maine.gov/decd/sites/maine.gov.decd/files/inline-files/COVID%20Checklist%20for%20ME%20Phase%201%20Religious%20Gatherings.pdf
23,,Maine,school closure,4/2/2020,,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inlinefiles/CORRECTED_An%20Order%20Regarding%20Further%20Restrictions%20on%20Public%20Contact%20and%20Movement%2C%20Schools%2C%20Vehicle%20Travel%20and%20Retail%20Business%20Operations.pdf,*this is the only official order signifying school closures; on 3/15/20 gov. strongly recommends https://www.maine.gov/governor/mills/news/governor-announces-significant-recommendations-signs-civil-emergency-proclamation-respond; closed for remainder of school year,,https://bangordailynews.com/2020/06/12/news/state/maine-tells-schools-to-prepare-for-a-fall-that-could-still-involve-remote-learning/
23,,Maine,shelter_in_place,4/2/2020,6/1/2020,https://www.maine.gov/governor/mills/news/governormillsissuesstayhealthyhomemandate20200331,,,https://www.maine.gov/governor/mills/news/governor-mills-issues-executive-order-allowing-easing-restrictions-restarting-maine-plan
23,,Maine,social_distancing,3/25/2020,,https://www.maine.gov/governor/mills/news/governormillsordersfurtherstepsprotectpublichealth20200324,official physical distance regulations in EO ,,
24,,Maryland,closing_of_public_venues,3/16/2020,5/29/2020,https://governor.maryland.gov/wp-content/uploads/2020/03/Executive-Order-Amending-Large-Gatherings.pdf,can reopen for outdoor dining,,https://governor.maryland.gov/2020/05/27/governor-hogan-announces-resumption-of-outdoor-dining-additional-activities-to-complete-stage-one-of-recovery/
24,,Maryland,gathering_size_10_0,3/19/2020,,https://governor.maryland.gov/2020/03/19/governor-hogan-announces-further-actions-to-slow-the-spread-of-covid-19-relaunches-maryland-unites-initiative/,max 10 ,,https://governor.maryland.gov/wp-content/uploads/2020/06/Gatherings-EIGHTH-AMENDED-6.3.20.pdf
24,,Maryland,gathering_size_100_26,3/16/2020,,https://governor.maryland.gov/wp-content/uploads/2020/03/Executive-Order-Amending-Large-Gatherings.pdf,limit 50,,
24,,Maryland,gathering_size_25_11,,,,,,
24,,Maryland,gathering_size_500_101,,,,,,
24,,Maryland,lockdown,,,,,,
24,,Maryland,non-essential_services_closure,3/23/2020,5/15/2020,https://governor.maryland.gov/wp-content/uploads/2020/03/Gatherings-THIRD-AMENDED-3.23.20.pdf,retail stores can open at 50% capacity,,https://governor.maryland.gov/2020/05/13/stage-one-governor-hogan-announces-gradual-reopenings-with-flexible-community-based-approach/
24,,Maryland,religious_gatherings_banned,3/19/2020,5/15/2020,https://governor.maryland.gov/wpcontent/uploads/2020/03/AmendingGatherings.pdf,implied based on gather of 10 max order made extra clear on 3/30/20 order https://governor.maryland.gov/wp-content/uploads/2020/03/Gatherings-FOURTH-AMENDED-3.30.20.pdf; starting 5/15 can hold services at 50% capacity,,https://governor.maryland.gov/2020/05/13/stage-one-governor-hogan-announces-gradual-reopenings-with-flexible-community-based-approach/
24,,Maryland,school closure,3/16/2020,,https://news.maryland.gov/msde/state-superintendent-salmon-announces-temporary-closure-of-maryland-public-schools/,schools closed for remainder of school year,,http://marylandpublicschools.org/newsroom/Pages/COVID-19/SchoolClosure.aspx
24,,Maryland,shelter_in_place,3/30/2020,5/15/2020,https://governor.maryland.gov/2020/03/30/ascovid19crisisescalatesincapitalregiongovernorhoganissuesstayathomeordereffectivetonight/,certain groups advised to still stay at home but official order lifted,,https://governor.maryland.gov/2020/05/13/stage-one-governor-hogan-announces-gradual-reopenings-with-flexible-community-based-approach/
24,,Maryland,social_distancing,,,,,,
1003,Baldwin,Alabama,closing_of_public_venues,3/28/2020,5/11/2020,http://www.alabamapublichealth.gov/news/2020/03/27.html https://www.al.com/news/2020/05/gov-kay-ivey-to-hold-coronavirus-press-conference-today-watch-live-here.html,3/19/20 order only for restaurants to do take out only other public venues were not closed until 3/28 5/11 restaurants may reopen with limited capacity http://www.alabamapublichealth.gov/news/2020/03/19.html,,
1003,Baldwin,Alabama,gathering_size_10_0,3/28/2020,5/11/2020,http://www.alabamapublichealth.gov/news/2020/03/28.html https://www.al.com/news/2020/05/gov-kay-ivey-to-hold-coronavirus-press-conference-today-watch-live-here.html,max 10 people permitted if maintain 6 feet,,
1003,Baldwin,Alabama,gathering_size_100_26,3/16/2020,,http://www.alabamapublichealth.gov/news/2020/03/16.html,*max 50 people,,
1003,Baldwin,Alabama,gathering_size_25_11,3/19/2020,,http://www.alabamapublichealth.gov/news/2020/03/19.html,,,
1003,Baldwin,Alabama,gathering_size_500_101,3/13/2020,,http://www.alabamapublichealth.gov/news/2020/03/13.html,,,
1003,Baldwin,Alabama,lockdown,,,,,,
1003,Baldwin,Alabama,non-essential_services_closure,3/28/2020,4/30/2020,http://www.alabamapublichealth.gov/news/2020/03/27.html https://governor.alabama.gov/newsroom/covid-19/,T,,
1003,Baldwin,Alabama,religious_gatherings_banned,4/4/2020,5/11/2020,https://governor.alabama.gov/assets/2020/04/FinalStatewideOrder4.3.2020.pdf https://www.al.com/news/2020/05/gov-kay-ivey-to-hold-coronavirus-press-conference-today-watch-live-here.html,"**Relgious gatherings are permitted if 10 or less people + 6ft distance; ""drive - in"" pwrkship permited w/ remaining in vehicle",,
1003,Baldwin,Alabama,school closure,3/18/2020,,https://www.facebook.com/photo?fbid=2740796256033572&set=a.436666249779929,,,
1003,Baldwin,Alabama,shelter_in_place,4/4/2020,4/30/2020,https://governor.alabama.gov/assets/2020/04/FinalStatewideOrder4.3.2020.pdf https://www.wtvm.com/2020/04/28/watch-live-gov-ivey-addresses-alabamians-shelter-place-order-reaches-expected-end/, outside rec is okay with proper social distancing,,
1003,Baldwin,Alabama,social_distancing,4/3/2020,,https://www.alabamapublichealth.gov/legal/assets/soecovid19040320.pdf,,,
1013,Butler,Alabama,closing_of_public_venues,3/28/2020,5/11/2020,http://www.alabamapublichealth.gov/news/2020/03/27.html https://www.al.com/news/2020/05/gov-kay-ivey-to-hold-coronavirus-press-conference-today-watch-live-here.html,3/19/20 order only for restaurants to do take out only other public venues were not closed until 3/28 5/11 restaurants may reopen with limited capacity http://www.alabamapublichealth.gov/news/2020/03/19.html,,
1013,Butler,Alabama,gathering_size_10_0,3/28/2020,5/11/2020,http://www.alabamapublichealth.gov/news/2020/03/28.html https://www.al.com/news/2020/05/gov-kay-ivey-to-hold-coronavirus-press-conference-today-watch-live-here.html,max 10 people permitted if maintain 6 feet,,
1013,Butler,Alabama,gathering_size_100_26,3/16/2020,,http://www.alabamapublichealth.gov/news/2020/03/16.html,*max 50 people,,
1013,Butler,Alabama,gathering_size_25_11,3/19/2020,,http://www.alabamapublichealth.gov/news/2020/03/19.html,,,
1013,Butler,Alabama,gathering_size_500_101,3/13/2020,,http://www.alabamapublichealth.gov/news/2020/03/13.html,,,
1013,Butler,Alabama,lockdown,,,,,,
1013,Butler,Alabama,non-essential_services_closure,3/28/2020,4/30/2020,http://www.alabamapublichealth.gov/news/2020/03/27.html https://governor.alabama.gov/newsroom/covid-19/,T,,
1013,Butler,Alabama,religious_gatherings_banned,4/4/2020,5/11/2020,https://governor.alabama.gov/assets/2020/04/FinalStatewideOrder4.3.2020.pdf https://www.al.com/news/2020/05/gov-kay-ivey-to-hold-coronavirus-press-conference-today-watch-live-here.html,"**Relgious gatherings are permitted if 10 or less people + 6ft distance; ""drive - in"" pwrkship permited w/ remaining in vehicle",,
1013,Butler,Alabama,school closure,3/20/2020,,https://www.greenvilleadvocate.com/2020/03/13/all-state-public-schools-closing-for-2-1-2-weeks/#:~:text=Gov.Gov.,,,
1013,Butler,Alabama,shelter_in_place,4/4/2020,4/30/2020,https://governor.alabama.gov/assets/2020/04/FinalStatewideOrder4.3.2020.pdf https://www.wtvm.com/2020/04/28/watch-live-gov-ivey-addresses-alabamians-shelter-place-order-reaches-expected-end/, outside rec is okay with proper social distancing,,
1013,Butler,Alabama,social_distancing,4/3/2020,,https://www.alabamapublichealth.gov/legal/assets/soecovid19040320.pdf,,,
1017,Chambers,Alabama,closing_of_public_venues,3/28/2020,5/11/2020,http://www.alabamapublichealth.gov/news/2020/03/27.html https://www.al.com/news/2020/05/gov-kay-ivey-to-hold-coronavirus-press-conference-today-watch-live-here.html,3/19/20 order only for restaurants to do take out only other public venues were not closed until 3/28 5/11 restaurants may reopen with limited capacity http://www.alabamapublichealth.gov/news/2020/03/19.html,,
1017,Chambers,Alabama,gathering_size_10_0,3/28/2020,5/11/2020,http://www.alabamapublichealth.gov/news/2020/03/28.html https://www.al.com/news/2020/05/gov-kay-ivey-to-hold-coronavirus-press-conference-today-watch-live-here.html,max 10 people permitted if maintain 6 feet,,
1017,Chambers,Alabama,gathering_size_100_26,3/16/2020,,http://www.alabamapublichealth.gov/news/2020/03/16.html,*max 50 people,,
1017,Chambers,Alabama,gathering_size_25_11,3/19/2020,,http://www.alabamapublichealth.gov/news/2020/03/19.html,,,
1017,Chambers,Alabama,gathering_size_500_101,3/13/2020,,http://www.alabamapublichealth.gov/news/2020/03/13.html,,,
1017,Chambers,Alabama,lockdown,,,,,,
1017,Chambers,Alabama,non-essential_services_closure,3/28/2020,4/30/2020,http://www.alabamapublichealth.gov/news/2020/03/27.html https://governor.alabama.gov/newsroom/covid-19/,T,,
1017,Chambers,Alabama,religious_gatherings_banned,4/4/2020,5/11/2020,https://governor.alabama.gov/assets/2020/04/FinalStatewideOrder4.3.2020.pdf https://www.al.com/news/2020/05/gov-kay-ivey-to-hold-coronavirus-press-conference-today-watch-live-here.html,"**Relgious gatherings are permitted if 10 or less people + 6ft distance; ""drive - in"" pwrkship permited w/ remaining in vehicle",,
1017,Chambers,Alabama,school closure,3/19/2020,,https://www.valleytimes-news.com/2020/03/chambers-school-district-provides-more-information-as-schools-prepare-to-close/,,,
